client_id,epoch,batch_index,latency_seconds,payload_size_mb,edge_forward,edge_backward,server_forward,server_backward,inter_delay,grad_delay
741c817a,1,3,0.5307,8.5963,0.1121,0.1381,0.0900,0.1530,0.0096,0.0278
e531ccd9,1,3,0.5452,8.5966,0.1194,0.1642,0.0844,0.1420,0.0092,0.0260
741c817a,1,4,0.5799,8.5964,0.0959,0.1748,0.0932,0.1608,0.0245,0.0306
e531ccd9,1,4,0.5860,8.5968,0.0989,0.1573,0.0978,0.1929,0.0093,0.0298
741c817a,2,5,0.6244,8.5967,0.1288,0.1929,0.0966,0.1681,0.0107,0.0273
e531ccd9,2,5,0.6592,8.5965,0.1124,0.1880,0.1016,0.1948,0.0205,0.0419
741c817a,2,6,0.7871,8.5964,0.1406,0.2435,0.1222,0.2223,0.0181,0.0403
e531ccd9,2,6,0.7469,8.5969,0.1443,0.1961,0.1085,0.1929,0.0647,0.0404
741c817a,2,7,0.6493,8.5963,0.1463,0.1672,0.1122,0.1811,0.0135,0.0290
e531ccd9,2,7,0.7056,8.5965,0.1259,0.1556,0.1116,0.2023,0.0706,0.0397
741c817a,2,8,0.6071,8.5964,0.1405,0.1860,0.0855,0.1486,0.0120,0.0345
e531ccd9,2,8,0.5545,8.5963,0.1077,0.1357,0.1067,0.1705,0.0093,0.0245
a9daf54c,1,1,1.6830,8.5966,0.1254,0.1755,0.1440,0.2005,1.0002,0.0375
d20756ae,1,1,1.9722,8.5966,0.1254,0.1623,0.1002,0.1770,1.3700,0.0371
a9daf54c,1,2,0.5380,8.5963,0.1255,0.1477,0.0794,0.1517,0.0093,0.0244
d20756ae,1,2,0.5227,8.5965,0.1024,0.1422,0.0912,0.1530,0.0093,0.0246
a9daf54c,1,3,0.5114,8.5968,0.1049,0.1459,0.0740,0.1449,0.0124,0.0293
d20756ae,1,3,0.5933,8.5968,0.1195,0.1681,0.0962,0.1657,0.0118,0.0320
a9daf54c,1,4,0.6192,8.5968,0.1049,0.1643,0.0927,0.1611,0.0633,0.0329
d20756ae,1,4,0.6081,8.5963,0.1121,0.2010,0.0854,0.1694,0.0089,0.0312
a9daf54c,2,5,0.6616,8.5967,0.1061,0.1599,0.1280,0.1978,0.0398,0.0299
d20756ae,2,5,0.6418,8.5964,0.1385,0.1664,0.0987,0.1954,0.0111,0.0318
a9daf54c,2,6,0.6672,8.5963,0.1210,0.1741,0.1038,0.1969,0.0356,0.0358
d20756ae,2,6,0.6373,8.5965,0.1300,0.1434,0.1111,0.2064,0.0143,0.0321
a9daf54c,2,7,0.6000,8.5966,0.1300,0.1580,0.0863,0.1688,0.0207,0.0362
d20756ae,2,7,0.5200,8.5964,0.1115,0.1328,0.0831,0.1569,0.0105,0.0252
a9daf54c,2,8,0.5496,8.5967,0.1072,0.1552,0.0790,0.1742,0.0102,0.0238
d20756ae,2,8,0.6102,8.5967,0.1073,0.1636,0.0901,0.1729,0.0512,0.0251
a9daf54c,3,9,0.5966,8.5964,0.1096,0.1572,0.1045,0.1792,0.0120,0.0341
d20756ae,3,9,0.6377,8.5968,0.1126,0.1692,0.1001,0.2049,0.0195,0.0314
a9daf54c,3,10,0.6760,8.5965,0.1265,0.1773,0.1081,0.2042,0.0227,0.0371
d20756ae,3,10,0.6601,8.5964,0.1307,0.1507,0.1112,0.2064,0.0172,0.0438
a9daf54c,3,11,0.6055,8.5965,0.1252,0.1489,0.0953,0.1790,0.0282,0.0289
d20756ae,3,11,0.5735,8.5964,0.1172,0.1450,0.0949,0.1781,0.0122,0.0261
a9daf54c,3,12,0.5419,8.5967,0.1087,0.1411,0.0869,0.1584,0.0218,0.0251
d20756ae,3,12,0.5836,8.5965,0.1039,0.1667,0.0911,0.1791,0.0117,0.0310
a9daf54c,4,13,0.5955,8.5964,0.1094,0.1674,0.0867,0.1563,0.0429,0.0328
d20756ae,4,13,0.7908,8.5964,0.1190,0.2534,0.1177,0.2446,0.0161,0.0400
a9daf54c,4,14,0.8113,8.5966,0.1376,0.1867,0.1145,0.2168,0.1212,0.0345
d20756ae,4,14,0.6429,8.5963,0.1769,0.1496,0.1013,0.1679,0.0111,0.0361
a9daf54c,4,15,0.5370,8.5964,0.1162,0.1519,0.0837,0.1478,0.0091,0.0283
d20756ae,4,15,0.6498,8.5966,0.1163,0.1736,0.0954,0.1532,0.0859,0.0255
a9daf54c,4,16,0.6084,8.5965,0.1181,0.1547,0.1123,0.1825,0.0127,0.0281
d20756ae,4,16,0.6201,8.5964,0.1174,0.1555,0.1033,0.1720,0.0427,0.0291
a9daf54c,5,17,0.6185,8.5967,0.1237,0.1689,0.0968,0.1811,0.0147,0.0333
d20756ae,5,17,0.6092,8.5964,0.1169,0.1756,0.0884,0.1769,0.0195,0.0319
a9daf54c,5,18,0.6266,8.5968,0.1234,0.1819,0.0932,0.1821,0.0130,0.0330
d20756ae,5,18,0.5988,8.5965,0.1261,0.1426,0.0925,0.1875,0.0187,0.0314
a9daf54c,5,19,0.5317,8.5963,0.1339,0.1489,0.0783,0.1374,0.0082,0.0249
d20756ae,5,19,0.5007,8.5964,0.0939,0.1334,0.0895,0.1431,0.0165,0.0244
a9daf54c,5,20,0.5038,8.5964,0.1006,0.1542,0.0767,0.1369,0.0085,0.0268
d20756ae,5,20,0.5570,8.5963,0.1023,0.1699,0.0939,0.1554,0.0109,0.0245
a9daf54c,6,21,0.5957,8.5970,0.1116,0.1776,0.0949,0.1681,0.0121,0.0315
d20756ae,6,21,0.6167,8.5967,0.1108,0.1945,0.0946,0.1707,0.0118,0.0343
a9daf54c,6,22,0.6926,8.5964,0.1257,0.2297,0.1046,0.1794,0.0130,0.0401
d20756ae,6,22,0.7236,8.5967,0.1435,0.1890,0.1473,0.1885,0.0155,0.0398
a9daf54c,6,23,0.6538,8.5963,0.1343,0.1769,0.1009,0.1880,0.0136,0.0402
d20756ae,6,23,0.6197,8.5964,0.1412,0.1746,0.1097,0.1526,0.0145,0.0271
a9daf54c,6,24,0.5514,8.5965,0.1133,0.1407,0.0980,0.1624,0.0104,0.0266
d20756ae,6,24,0.5714,8.5968,0.1265,0.1523,0.0844,0.1672,0.0084,0.0326
a9daf54c,7,25,0.6037,8.5963,0.1147,0.1632,0.0888,0.1562,0.0533,0.0275
